date,hour,aircraft_events,total_LDEN_dB,aircraft_LDEN_dB,bg_LDEN_dB,site
01/01/14,0:00,NA,77.5,NA,77.5,Roodt/Syr NMT # 1
01/01/14,1:00,NA,54.9,NA,54.9,Roodt/Syr NMT # 1
01/01/14,2:00,NA,53.8,NA,53.8,Roodt/Syr NMT # 1
01/01/14,3:00,NA,56.4,NA,NA,Roodt/Syr NMT # 1
01/01/14,4:00,NA,56.1,NA,NA,Roodt/Syr NMT # 1
01/01/14,5:00,NA,53.9,NA,NA,Roodt/Syr NMT # 1
01/01/14,6:00,NA,63.7,NA,NA,Roodt/Syr NMT # 1
01/01/14,7:00,NA,59.0,NA,NA,Roodt/Syr NMT # 1
01/01/14,8:00,NA,45.4,NA,NA,Roodt/Syr NMT # 1
01/01/14,9:00,NA,49.5,NA,NA,Roodt/Syr NMT # 1
01/01/14,10:00,NA,49.9,NA,NA,Roodt/Syr NMT # 1
01/01/14,11:00,NA,51.2,NA,NA,Roodt/Syr NMT # 1
01/01/14,12:00,NA,48.6,NA,NA,Roodt/Syr NMT # 1
01/01/14,13:00,NA,50.3,NA,NA,Roodt/Syr NMT # 1
01/01/14,14:00,NA,56.4,NA,NA,Roodt/Syr NMT # 1
01/01/14,15:00,NA,48.8,NA,NA,Roodt/Syr NMT # 1
01/01/14,16:00,NA,56.9,NA,NA,Roodt/Syr NMT # 1
01/01/14,17:00,NA,51.5,NA,NA,Roodt/Syr NMT # 1
01/01/14,18:00,NA,51.0,NA,NA,Roodt/Syr NMT # 1
01/01/14,19:00,NA,54.2,NA,NA,Roodt/Syr NMT # 1
01/01/14,20:00,NA,56.2,NA,NA,Roodt/Syr NMT # 1
01/01/14,21:00,NA,61.3,NA,NA,Roodt/Syr NMT # 1
01/01/14,22:00,NA,59.8,NA,NA,Roodt/Syr NMT # 1
01/01/14,23:00,NA,69.8,NA,NA,Roodt/Syr NMT # 1
01/01/14,0:00,NA,71.5,NA,71.5,DVOR NMT # 2
01/01/14,1:00,NA,58.6,NA,58.6,DVOR NMT # 2
01/01/14,2:00,NA,59.2,NA,59.2,DVOR NMT # 2
01/01/14,3:00,NA,58.7,NA,NA,DVOR NMT # 2
01/01/14,4:00,NA,58.6,NA,NA,DVOR NMT # 2
01/01/14,5:00,NA,58.2,NA,NA,DVOR NMT # 2
01/01/14,6:00,NA,76.6,NA,NA,DVOR NMT # 2
01/01/14,7:00,NA,71.0,NA,NA,DVOR NMT # 2
01/01/14,8:00,NA,47.3,NA,NA,DVOR NMT # 2
01/01/14,9:00,NA,59.7,NA,NA,DVOR NMT # 2
01/01/14,10:00,NA,61.3,NA,NA,DVOR NMT # 2
01/01/14,11:00,NA,62.6,NA,NA,DVOR NMT # 2
01/01/14,12:00,NA,52.6,NA,NA,DVOR NMT # 2
01/01/14,13:00,NA,59.0,NA,NA,DVOR NMT # 2
01/01/14,14:00,NA,68.3,NA,NA,DVOR NMT # 2
01/01/14,15:00,NA,52.9,NA,NA,DVOR NMT # 2
01/01/14,16:00,NA,68.9,NA,NA,DVOR NMT # 2
01/01/14,17:00,NA,62.4,NA,NA,DVOR NMT # 2
01/01/14,18:00,NA,62.1,NA,NA,DVOR NMT # 2
01/01/14,19:00,NA,57.7,NA,NA,DVOR NMT # 2
01/01/14,20:00,NA,61.6,NA,NA,DVOR NMT # 2
01/01/14,21:00,NA,71.6,NA,NA,DVOR NMT # 2
01/01/14,22:00,NA,69.3,NA,NA,DVOR NMT # 2
01/01/14,23:00,NA,79.9,NA,NA,DVOR NMT # 2
01/01/14,0:00,NA,70.7,NA,70.7,Mid Runway NMT # 3
01/01/14,1:00,NA,52.4,NA,52.4,Mid Runway NMT # 3
01/01/14,2:00,NA,51.1,NA,51.1,Mid Runway NMT # 3
01/01/14,3:00,NA,51.3,NA,NA,Mid Runway NMT # 3
